hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
0091ac9434f528a4007d82d2443d2dc9	adv	0	1	0	392206f617911784	4	0.8982	14080
0092f19206d4641caaa3a638914bee3f	adv	0	1	0	a57d2b8f218bf689	24	33.6678	137248
0094d44002500c187e3c2d07a13bee7c	adv	0	1	0	356c59011990f7df	4	0.072477	0
009a4a6c23299b864508393ee726625a	adv	0	1	0	1e915d55b801dce6	14	1.36218	0
00a1604721e43896a93b5329e5b38af4	adv	0	1	0	NA	NA	2.64	NA
00a30fb1c0150fe3d6692afd2b220887	adv	0	1	0	4c0861b174ac6cd8	27	4.59328	12800
00a62eb89afbf27e1addf8f5c437da9b	adv	0	1	0	9356b6ed708bf0b2	8	3.09567	0
00a981f385cd209d41e1efa1f5f29bac	adv	0	1	0	NA	NA	2.51	NA
00ae4072f9b57d5d3cfe8919aff1b776	adv	0	1	0	NA	NA	2.39	NA
00aec3b2e38968bf8a922709e2acfccd	adv	0	1	0	5c817c779ba898c6	3	1.06774	0
00aefd1fc30c425075166ca051e57218	adv	0	1	0	NA	NA	3.61	NA
00b1c27aee52d6dd9e112fa55d4cc1ca	adv	0	1	0	NA	NA	0.94	NA
00b46ace235e3915a439c77a231a5657	adv	0	1	0	b1aab2c350a388b8	10	2.5466	19200
00b9b467c26540853360491401da61a5	adv	0	1	0	4a50c8f02ea2077d	NA	27.0811	18204
00bb0b4ef28ed38c49de4c54b9fabc4d	adv	0	1	0	027fd33175ef0091	22	1.85843	0
00bbdbb1bc700e4c4ceb0d6e86e33c23	adv	0	1	0	1e40bb3078cae1a4	4	0.049364	0
00be4c67683c8edeca138279e13942cb	adv	0	1	0	NA	NA	0.38	NA
00be590675417eba2bb2585790ac392d	adv	0	1	0	4d67bfe0ce63ef78	6	0.363243	0
00c4c1dfa04e7cd8b7abc80a4a4f7153	adv	0	1	0	ead3d2789f23bbe5	4	0.113421	0
00d0eef039aa1f9cf1cf2647a58fe313	adv	0	1	0	58c83a603fbf6e81	4	2.56354	23388
00d1fe07ab948b348bb3fb423b1ef40d	adv	0	1	0	0100995234908c80	16	1.45972	8960
00d239e486137a4f7264adb4fb57d5ae	adv	0	1	0	c960dd85d83576f1	10	0.055119	0
00d25e6106c5c09bb5d8d0f7eae7385a	adv	0	1	0	NA	NA	NA	NA
00d3338cd6cdfa099ff29f036c77d93d	adv	0	1	0	NA	NA	NA	NA
00063d88244921d6ec46aeab6866a8e2	sum	0	0	1	779efa1ba6c29dba	26	7.06742	31884
00072cf107ae1349c8c59a15c5ce4af1	sum	0	0	1	01ae9f0328d3deb1	4	0.023692	0
00076733bdbce94d7e44eca84f1425f0	sum	0	0	1	5059e2ed6d186af5	9	26.2763	332928
000781b7a545fe723159e53127aff659	sum	0	0	1	1d5727988274486f	24	51.2919	148236
000a41cdca43be89ed62ea3abf2d0b64	sum	0	0	1	970bdaf6f332a578	12	31.0551	190672
000e4e0db67e27083649c20a2a3f761b	sum	0	0	1	09569a6f3eeded03	4	124.419	1040064
00107d84f57e2371476a7b2cabe0b351	sum	0	0	1	NA	NA	3.52	NA
001304ba2e4e8adbd179aa3d8acb697b	sum	0	0	1	9b0d5e41292af638	5	0.023834	0
001344c9b3cb1626af1c7c35155cf26a	sum	0	0	1	NA	NA	3.67	NA
0020aa0c69379226948904ad455b6c09	sum	0	0	1	be9c844f1fd2c383	3	0.061691	0
00213e27dabcf679205144f3dde5d37e	sum	0	0	1	2833e981afc83757	3	0.07136	0
0022f125b13bd7ccc91e793431c67a52	sum	0	0	1	e8eaad4f7dabaf02	13	107.934	626944
0025a06f00f6e467f7cf4ef9e649b2a7	sum	0	0	1	99ed468e2442f9cb	40	40.5167	89012
00260e67c792062bc3e10e6b94522101	sum	0	0	1	9a0a65803a9fbe15	24	77.0936	197904
0026aaf8bbf2df73cb5db34a7b7a7a04	sum	0	0	1	f690541151e355b1	24	66.9088	182324
00274d0721d26f867b2573377712cac9	sum	0	0	1	b531b7c091fefe4e	15	14.5869	88412
00275f3018d50ba38867268739dfc44f	sum	0	0	1	a39edf0fcdffab0b	5	0.032447	0
002a0330958a14deb23dcc84b5489e8a	sum	0	0	1	39d62f8b14740837	58	118.237	182424
002bed2572e6e326815e674f288de8b4	sum	0	0	1	2a3c5afa403d053a	20	0.517439	0
003154fc91d34d29ec5cf93b0bc32143	sum	0	0	1	bf6dfddb1b9febb3	24	19.8371	76452
