hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
0041f01bcd7d0d1f9541cea6da79ad57	adv	3c49a0f8ebc04e7e	5	1.00098	0	/nfs/share/instances/gbd/cnf/0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf.xz	dbc0536d387cedf9d93e2cba738a15d5	subgraph-isomorphism	unsat	58758	720	628649	0	58734	0	0	0	0	0	0	0	24	42651	45366	16083	13368
0042a627dfba7daa62d6ce175540c8a2	adv	a619ad377631421f	4	1.07599	0	/nfs/share/instances/gbd/cnf/0042a627dfba7daa62d6ce175540c8a2-unif-k3-r4.267-v12200-c52057-S523604335245593178.cnf.xz	00e84d0fce166b24a60e3ea4f0c39069	uniform-random	sat	52057	12200	977220	0	0	52057	0	0	0	0	0	0	0	26040	26017	6415	6474
0043cfdde474fa37dfeb5ce5952d22f6	adv	0e42ef80e329f296	4	0.060581	0	/nfs/share/instances/gbd/cnf/0043cfdde474fa37dfeb5ce5952d22f6-unif-c2520-v600-s1111033636.cnf.xz	e572d26645b1d19679631b2bd1f73955	uniform-random	unknown	2520	600	37574	0	0	2520	0	0	0	0	0	0	0	1229	1291	322	277
0049919cdf9556bfda5bb365af72414c	adv	703f1c7e72447ee6	24	72.1484	200128	/nfs/share/instances/gbd/cnf/0049919cdf9556bfda5bb365af72414c-57-124044.cnf.xz	8bae8be4a4a1f4f09aaa6ddcf82a8c96	station-repacking	unknown	759017	30582	11708401	3	757588	2	1	5	3	0	9	3	1403	757591	1429	1429	757588
004b0f451f7d96f6a572e9e76360f51a	adv	ab20135f9b5b6a4a	NA	1163.78	1066760	/nfs/share/instances/gbd/cnf/004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf.xz	8614f82909dc0eaab513724a4ecf9835	cellular-automata	unsat	3463100	674643	93154305	0	602493	1466473	829493	549907	14734	0	0	0	0	1646404	1342905	237160	528240
005093e294b0ed0f7b23f341ff68968b	adv	64ac332d146c976e	24	60.224	145332	/nfs/share/instances/gbd/cnf/005093e294b0ed0f7b23f341ff68968b-55-115476.cnf.xz	b21f609b4df1cc4005ff03168b39dddd	station-repacking	unknown	610850	27075	9370661	3	609591	1	1	4	2	0	9	5	1234	609594	1259	1259	609591
00547b9476397463c8220560aeeea086	adv	251ce6c2f5e38c82	74	106.065	84656	/nfs/share/instances/gbd/cnf/00547b9476397463c8220560aeeea086-bench_3250.smt2.cnf.xz	7048a928cf30d19ea90bf3d1226af0b1	agile	sat	237920	66184	4569860	27	66447	166371	5069	0	0	0	4	0	2	115955	156700	45445	29596
005522cf558f9b77ed345a289384e191	adv	c8c861131ca7239d	4	0.057817	0	/nfs/share/instances/gbd/cnf/005522cf558f9b77ed345a289384e191-unif-k3-r4.25-v420-c1785-S1394036608-091.cnf.xz	0b4af51b741fbb14bd00344a0cf306d5	uniform-random	unknown	1785	420	26281	0	0	1785	0	0	0	0	0	0	0	880	905	249	213
00597fb425e994af7a9d224ef4d09fc4	adv	5dde3a5eca7c2735	24	83.9795	171928	/nfs/share/instances/gbd/cnf/00597fb425e994af7a9d224ef4d09fc4-41-118813.cnf.xz	3e16c3107f0876b1db6dc13f179964a2	station-repacking	unknown	679195	28641	10451926	3	677864	1	1	4	2	0	8	4	1308	677867	1331	1331	677864
0059d4b1cf79efbc6e6ed50caee0448e	adv	41e2586528b587a5	10	0.23574	0	/nfs/share/instances/gbd/cnf/0059d4b1cf79efbc6e6ed50caee0448e-4col220_9_1.shuffled.cnf.xz	5865199aa84abc74c6a4626dae53555a	coloring	sat	3966	440	75241	6	0	0	3960	0	0	0	0	0	0	1208	1208	228	226
